gene,is_xlinked,carrier_count_hkgi,sample_size_hkgi,carrier_rate_hkgi,carrier_rate_CI_Lower_hkgi,carrier_rate_CI_Upper_hkgi,carrier_count_chung,sample_size_chung,carrier_rate_chung,carrier_count_sg,carrier_rate_sg,sample_size_gnomAD-EAS,sample_size_gnomAD-NFE,sample_size_gnomAD-AMR,sample_size_gnomAD-AFR,carrier_rate_gnomAD-EAS,carrier_rate_gnomAD-NFE,carrier_rate_gnomAD-AMR,carrier_rate_gnomAD-AFR,acmg_tier_hkgi,acmg_tier_chung,acmg_tier_sg,acmg_tier_gnomAD-EAS,acmg_tier_gnomAD-NFE,acmg_tier_gnomAD-AMR,acmg_tier_gnomAD-AFR,tier_hkgi,tier_chung,tier_sg,tier_gnomAD-EAS,tier_gnomAD-NFE,tier_gnomAD-AMR,tier_gnomAD-AFR,at_risks_couples_count_hkgi,at_risks_couples_rate_hkgi,at_risks_birth_rate_hkgi,actual_at_risks_couples_count_hkgi,actual_at_risks_couples_rate_hkgi,actual_at_risks_child_count_hkgi,actual_at_risks_positive_child_count_hkgi,actual_at_risks_birth_rate_hkgi,Is in NGS dead zone,Found in ClinGen with AR inheritance but missing in OMIM,OMIM/ClinGen AR Phenotype,AFR Exomes GCF,AFR Genomes GCF,AFR combined GCF,AMR Exomes GCF,AMR Genomes GCF,AMR Combined  GCF,ASJ Exomes GCF,ASJ Genomes GCF,ASJ Combined GCF,EAS Exomes GCF,EAS Genomes GCF,EAS Combined GCF,FIN Exomes GCF,FIN Genomes GCF,FIN Combined GCF,MID Exomes GCF,MID Genomes GCF,NFE Exomes GCF,NFE Genomes GCF,NFE Combined GCF,SAS Exomes GCF,SAS Genomes GCF,SAS Combined GCF,ACMG carrier screening list,FINDIS,Comments,MAX AF,Known technical challenges,>90% GCF contributed by a single variant with variant based GCF >0.5% (suppl table 9)
SERPINB7,FALSE,519,18065,0.02873,0.026293663,0.031165512,,,,109,0.0198,22448,590031,30019,37545,0.026284,0.000323,0.000131,,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_2,tier_4,tier_2,tier_2,tier_4,tier_4,tier_4,134421,0.000823844,0.000205961,5,0.001736111,9,3,0.00090063,FALSE,FALSE,"Palmoplantar keratoderma, Nagashima type, 615598 (3), Autosomal recessive",0.000061,ND,0.000061,0.000045,0.000131,0.000176,ND,ND,ND,0.020999,0.026284,0.021603,0.000075,ND,0.000075,0.000351,ND,0.000303,0.000323,0.000304,0.000439,0.000414,0.000441,0,0,0,0.026284426,0,0
GLA,TRUE,7,9367,0.00075,0.000193911,0.001300698,,,,14,0.00254,22448,590031,30019,37545,0.001758,0.000152,0.001769,0,tier_3,tier_3,tier_3,tier_3,tier_3,tier_3,tier_3,tier_3_xlink,tier_4,tier_3_xlink,tier_3_xlink,tier_3_xlink,tier_3_xlink,tier_4,60886,0.000747304,0.000186826,1,0.000347222,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLC25A13,FALSE,472,18065,0.02613,0.023801752,0.028453991,28,1543,0.0181,126,0.0229,22448,590031,30019,37545,0.016597,0.000946,0.000655,0.000583,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_2,tier_2,tier_2,tier_2,tier_4,tier_4,tier_4,111156,0.000681257,0.000170314,1,0.000347222,1,,,FALSE,FALSE,"Citrullinemia, type II, neonatal-onset, 605814 (3), Autosomal recessive; Citrullinemia, adult-onset type II, 603471 (3), Autosomal recessive",0.000405,0.000583,0.000989,0.000987,0.000655,0.001337,0.002449,0.002307,0.002441,0.018159,0.016597,0.018539,0.000076,ND,0.000076,0.001871,ND,0.00104,0.000946,0.00109,0.001799,0.00332,0.002282,0,0,0,0.018539187,0,0
DMD,TRUE,5,9367,0.00053,6.60E-05,0.001001542,,,,,,22448,590031,30019,37545,,0.000254,0.000591,0.000362,tier_3,tier_3,tier_3,tier_3,tier_3,tier_3,tier_3,tier_3_xlink,tier_4,tier_4,tier_4,tier_3_xlink,tier_3_xlink,tier_3_xlink,43490,0.000533789,0.000133447,1,0.000347222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATP7B,FALSE,398,18065,0.02203,0.019891058,0.024172047,27,1543,0.0175,98,0.0178,22448,590031,30019,37545,0.015417,0.014142,0.01792,0.004484,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,tier_4,79003,0.000484197,0.000121049,1,0.000347222,2,,,FALSE,FALSE,"Wilson disease, 277900 (3), Autosomal recessive",0.00419,0.004484,0.005631,0.011878,0.01792,0.01548,0.022964,0.017862,0.023009,0.01393,0.015417,0.017809,0.00443,0.004143,0.00484,0.01467,0.019935,0.012832,0.014142,0.013178,0.00876,0.009529,0.010625,yes,0,0,0.023009174,0,0
ABCA4,FALSE,367,18065,0.02032,0.018258281,0.022372773,,,,52,0.00945,22448,590031,30019,37545,0.019674,0.042964,0.032211,0.044709,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_2,tier_4,tier_3,tier_2,tier_2,tier_2,tier_2,67161,0.000411619,0.000102905,3,0.001041667,3,,,FALSE,FALSE,"Retinal dystrophy, early-onset severe, 248200 (3), Autosomal recessive; Retinitis pigmentosa 19, 601718 (3), Autosomal recessive; Cone-rod dystrophy 3, 604116 (3), Autosomal recessive; Fundus flavimaculatus, 248200 (3), Autosomal recessive; Stargardt disease 1, 248200 (3), Autosomal recessive",0.045357,0.044709,0.047448,0.031309,0.032211,0.03499,0.058719,0.059936,0.059043,0.018413,0.019674,0.02125,0.0245,0.021113,0.024536,0.052001,0.054422,0.043573,0.042964,0.044484,0.0436,0.04193,0.045761,0,0,0,0.059936055,0,0
SRD5A2,FALSE,365,18065,0.0202,0.018153067,0.022256565,,,,75,0.0136,22448,590031,30019,37545,0.016604,0.001676,0.001571,0.002412,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_2,tier_4,tier_2,tier_2,tier_4,tier_4,tier_4,66430,0.000407139,0.000101785,0,0,,,,FALSE,FALSE,"Pseudovaginal perineoscrotal hypospadias, 264600 (3), Autosomal recessive",0.001701,0.002412,0.002338,0.002172,0.001571,0.00253,0.003711,0.000576,0.003351,0.008998,0.016604,0.0106,0.00004,ND,0.00004,0.001442,0.006329,0.001853,0.001676,0.001876,0.003491,0.004563,0.003576,0,0,0,0.016603692,0,0
GALC,FALSE,362,18065,0.02004,0.017995276,0.022082222,24,1543,0.0156,88,0.016,22448,590031,30019,37545,0.020941,0.001914,0.001075,0.001834,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_2,tier_2,tier_2,tier_2,tier_4,tier_4,tier_4,65341,0.000400464,0.000100116,0,0,,,,FALSE,FALSE,"Krabbe disease, 245200 (3), Autosomal recessive",0.001206,0.001834,0.002054,0.001773,0.001075,0.002147,0.00039,ND,0.00039,0.018818,0.020941,0.020032,0.001959,0.001508,0.00194,0.00243,0.013605,0.002078,0.001914,0.002204,0.001616,0.001243,0.002461,0,0,0,0.020940534,0,0
SLC26A4,FALSE,355,18065,0.01965,0.01762724,0.021675278,27,1543,0.0175,109,0.0198,22448,590031,30019,37545,0.020803,0.012556,0.005759,0.005549,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,tier_3,tier_3,62835,0.000385106,9.63E-05,4,0.001388889,4,4,0.001200841,FALSE,FALSE,"Deafness, autosomal recessive 4, with enlarged vestibular aqueduct, 600791 (3), Autosomal recessive; Pendred syndrome, 274600 (3), Autosomal recessive",0.005033,0.005549,0.006367,0.005937,0.005759,0.008229,0.014332,0.010948,0.013981,0.017929,0.020803,0.021037,0.001576,0.000566,0.001558,0.006717,0.006849,0.014745,0.012556,0.014768,0.013285,0.012445,0.014543,yes,0,0,0.021037091,0,0
UPF3B,TRUE,3,9367,0.00032,-4.21E-05,0.000682632,,,,,,,,,,,,,,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,26094,0.000320273,8.01E-05,2,0.000694444,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OFD1,TRUE,3,9367,0.00032,-4.21E-05,0.000682632,,,,,,,,,,,,,,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,26094,0.000320273,8.01E-05,1,0.000347222,1,1,0.00030021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTC,TRUE,3,9367,0.00032,-4.21E-05,0.000682632,,,,,,22448,590031,30019,37545,,,,0,tier_3,tier_3,tier_3,tier_3,tier_3,tier_3,tier_3,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,26094,0.000320273,8.01E-05,1,0.000347222,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMN1,FALSE,309,18065,0.0171,0.01521411,0.018995687,9,1543,0.0211,,,22448,590031,30019,37545,,,,,tier_1,tier_1,tier_1,tier_1,tier_1,tier_1,tier_1,tier_1,tier_1,tier_1,tier_1,tier_1,tier_1,tier_1,47586,0.000291647,7.29E-05,0,0,,,,TRUE,FALSE,"Spinal muscular atrophy-2, 253550 (3), Autosomal recessive; Spinal muscular atrophy-4, 271150 (3), Autosomal recessive; Spinal muscular atrophy-3, 253400 (3), Autosomal recessive; Spinal muscular atrophy-1, 253300 (3), Autosomal recessive",0.009995,ND,0.009995,0.001739,ND,0.001739,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,yes,0,"SMN1/SMN2 highly homologous, most common deletion event not detected in seq variant analysis",0.00999474,"yes, see comments",0
SLC22A5,FALSE,290,18065,0.01605,0.014220426,0.017885856,32,1543,0.0207,77,0.014,22448,590031,30019,37545,0.011965,0.010527,0.00732,0.003323,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_2,tier_2,tier_2,tier_2,tier_2,tier_3,tier_4,41905,0.000256829,6.42E-05,1,0.000347222,1,,,FALSE,FALSE,"Carnitine deficiency, systemic primary, 212140 (3), Autosomal recessive",0.003048,0.003323,0.003981,0.005677,0.00732,0.007587,0.003052,0.002304,0.003423,0.008928,0.011965,0.009431,0.004076,0.004522,0.00467,0.006133,0.006803,0.013648,0.010527,0.013539,0.00729,0.008286,0.007435,0,0,0,0.013648,0,0
SLC6A8,TRUE,2,9367,0.00021,-8.24E-05,0.000509396,,,,,,22448,590031,30019,37545,,0.000051,,,tier_3,tier_3,tier_3,tier_3,tier_3,tier_3,tier_3,tier_4,tier_4,tier_4,tier_4,tier_3_xlink,tier_4,tier_4,17396,0.000213516,5.34E-05,1,0.000347222,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATRX,TRUE,2,9367,0.00021,-8.24E-05,0.000509396,,,,,,,,,,,,,,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,17396,0.000213516,5.34E-05,1,0.000347222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F9,TRUE,2,9367,0.00021,-8.24E-05,0.000509396,,,,,,22448,590031,30019,37545,,0.000356,0.000295,0.000271,tier_3,tier_3,tier_3,tier_3,tier_3,tier_3,tier_3,tier_4,tier_4,tier_4,tier_4,tier_3_xlink,tier_3_xlink,tier_3_xlink,17396,0.000213516,5.34E-05,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOXP3,TRUE,2,9367,0.00021,-8.24E-05,0.000509396,,,,,,,,,,,,,,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,17396,0.000213516,5.34E-05,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPR143,TRUE,2,9367,0.00021,-8.24E-05,0.000509396,,,,,,,,,,,,,,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,17396,0.000213516,5.34E-05,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F8,TRUE,2,9367,0.00021,-8.24E-05,0.000509396,,,,34,0.00618,22448,590031,30019,37545,0.005282,0.002726,0.001768,0.001896,tier_3,tier_3,tier_3,tier_3,tier_3,tier_3,tier_3,tier_4,tier_4,tier_3_xlink,tier_3_xlink,tier_3_xlink,tier_3_xlink,tier_3_xlink,17396,0.000213516,5.34E-05,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAFAZZIN,TRUE,2,9367,0.00021,-8.24E-05,0.000509396,,,,,,,,,,,,,,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,17396,0.000213516,5.34E-05,2,0.000694444,2,1,0.00030021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLC9A6,TRUE,2,9367,0.00021,-8.24E-05,0.000509396,,,,,,,,,,,,,,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,17396,0.000213516,5.34E-05,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRKRA,FALSE,259,18065,0.01434,0.012603615,0.016070617,,,,,,22448,590031,30019,37545,0.00314,0.00265,0.002617,0.001204,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_2,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,33411,0.000204771,5.12E-05,0,0,,,,FALSE,FALSE,"Dystonia 16, 612067 (3), Autosomal recessive",0.000179,0.001204,0.001219,0.000671,0.002617,0.002544,ND,0.001153,0.001153,ND,0.00314,0.00314,0.000037,0.002075,0.002113,ND,0.013605,0.000194,0.00265,0.002584,ND,0.002912,0.002912,0,0,0,0.013605442,0,0
PAH,FALSE,252,18065,0.01395,0.012239375,0.015659878,12,1543,0.0078,54,0.00981,22448,590031,30019,37545,0.010435,0.025344,0.015576,0.006899,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,tier_3,tier_3,tier_2,tier_2,tier_2,tier_3,31626,0.000193831,4.85E-05,1,0.000347222,1,,,FALSE,FALSE,"Phenylketonuria, 261600 (3), Autosomal recessive",0.006979,0.006899,0.009504,0.014146,0.015576,0.017076,0.057427,0.055894,0.057866,0.012438,0.010435,0.015747,0.00618,0.003958,0.006388,0.033772,0.013132,0.024898,0.025344,0.025376,0.013684,0.009538,0.014518,yes,0,0,0.05786626,0,0
EYS,FALSE,236,18065,0.01306,0.011408125,0.014719746,,,,91,0.0165,22448,590031,30019,37545,0.013119,0.005767,0.005377,0.009404,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_2,tier_4,tier_2,tier_2,tier_3,tier_3,tier_3,27730,0.000169953,4.25E-05,0,0,,,,FALSE,FALSE,"Retinitis pigmentosa 25, 602772 (3), Autosomal recessive",0.010208,0.009404,0.011471,0.006631,0.005377,0.008461,0.024173,0.0271,0.024644,0.015574,0.013119,0.017294,0.024417,0.031265,0.025821,0.017692,0.020455,0.004986,0.005767,0.005415,0.004927,0.005386,0.005836,0,0,0,0.031264715,0,0
CYP21A2,FALSE,232,18065,0.01284,0.011200611,0.014484416,,,,65,0.0118,22448,590031,30019,37545,0.020684,0.05747,0.082525,0.042714,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,tier_4,tier_2,tier_2,tier_2,tier_2,tier_2,26796,0.000164228,4.11E-05,0,0,,,,FALSE,FALSE,"Hyperandrogenism, nonclassic type, due to 21-hydroxylase deficiency, 201910 (3), Autosomal recessive; Adrenal hyperplasia, congenital, due to 21-hydroxylase deficiency, 201910 (3), Autosomal recessive",0.016152,0.042714,0.033892,0.040193,0.082525,0.05752,0.100289,0.178963,0.118638,0.006729,0.020684,0.013343,0.008139,0.014259,0.014958,0.055172,0.143327,0.026364,0.05747,0.035647,0.007593,0.038459,0.015428,yes,0,"Some pathogenic CYP21A2 variants have non-PASS status in exomes, with PASS status genomes leading to different GCFs. However, due to the pseudogene presence,  uncertain if GCFs from genomes are reliable",0.17896331,Pseudogene,0
ABCC6,FALSE,221,18065,0.01223,0.010630601,0.0138366,,,,57,0.0104,22448,590031,30019,37545,0.015076,0.009086,0.006934,0.009055,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_2,tier_4,tier_2,tier_2,tier_3,tier_3,tier_3,24310,0.000148992,3.72E-05,0,0,,,,FALSE,FALSE,"Pseudoxanthoma elasticum, 264800 (3), Autosomal recessive; Arterial calcification, generalized, of infancy, 2, 614473 (3), Autosomal recessive",0.009225,0.009055,0.010507,0.005067,0.006934,0.006547,0.000536,ND,0.000536,0.020053,0.015076,0.021661,0.008332,0.006971,0.008347,0.007332,0.013178,0.009439,0.009086,0.009777,0.004003,0.004974,0.005795,0,0,0,0.021661422,0,0
USH2A,FALSE,207,18065,0.01146,0.009906618,0.013010625,18,1543,0.0117,83,0.0151,22448,590031,30019,37545,0.016236,0.035784,0.024631,0.013927,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,tier_2,21321,0.000130673,3.27E-05,0,0,,,,FALSE,FALSE,"Usher syndrome, type 2A, 276901 (3), Autosomal recessive; Retinitis pigmentosa 39, 613809 (3), Autosomal recessive",0.007243,0.013927,0.01574,0.016442,0.024631,0.028731,0.00452,0.003457,0.006227,0.011651,0.016236,0.015063,0.003899,0.004897,0.006375,0.008615,0.006803,0.016765,0.035784,0.037597,0.006202,0.010782,0.012954,yes,0,0,0.037596687,0,0
ABCG5,FALSE,200,18065,0.01107,0.009545297,0.012596967,,,,18,0.00327,22448,590031,30019,37545,0.009286,0.000647,0.000262,0.00053,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_2,tier_4,tier_4,tier_3,tier_4,tier_4,tier_4,19900,0.000121964,3.05E-05,0,0,,,,FALSE,FALSE,"Sitosterolemia 2, 618666 (3), Autosomal recessive",0.000183,0.00053,0.000573,0.000677,0.000262,0.000664,ND,ND,ND,0.007153,0.009286,0.007569,ND,ND,ND,0.003663,ND,0.000641,0.000647,0.000676,0.001419,0.001244,0.001425,0,0,0,0.009285805,0,0
IL1RAPL1,TRUE,1,9367,0.00011,-0.000102472,0.000315988,,,,,,,,,,,,,,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,8698,0.000106758,2.67E-05,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHM,TRUE,1,9367,0.00011,-0.000102472,0.000315988,,,,,,,,,,,,,,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,8698,0.000106758,2.67E-05,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KDM5C,TRUE,1,9367,0.00011,-0.000102472,0.000315988,,,,,,,,,,,,,,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,8698,0.000106758,2.67E-05,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MID1,TRUE,1,9367,0.00011,-0.000102472,0.000315988,,,,,,22448,590031,30019,37545,,0.000102,,,tier_3,tier_3,tier_3,tier_3,tier_3,tier_3,tier_3,tier_4,tier_4,tier_4,tier_4,tier_3_xlink,tier_4,tier_4,8698,0.000106758,2.67E-05,1,0.000347222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPGR,TRUE,1,9367,0.00011,-0.000102472,0.000315988,,,,,,22448,590031,30019,37545,,,,,tier_3,tier_3,tier_3,tier_3,tier_3,tier_3,tier_3,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,tier_4,8698,0.000106758,2.67E-05,1,0.000347222,2,2,0.00060042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
